global_step,return,length
8,7.0,8
21,12.0,13
36,14.0,15
40,3.0,4
43,2.0,3
49,5.0,6
62,12.0,13
69,6.0,7
74,4.0,5
86,11.0,12
90,3.0,4
98,7.0,8
113,14.0,15
116,2.0,3
129,12.0,13
140,10.0,11
144,3.0,4
150,5.0,6
159,8.0,9
163,3.0,4
168,4.0,5
172,3.0,4
179,6.0,7
183,3.0,4
190,6.0,7
199,8.0,9
217,17.0,18
221,3.0,4
229,7.0,8
235,5.0,6
245,9.0,10
260,14.0,15
274,13.0,14
289,14.0,15
296,6.0,7
307,10.0,11
311,3.0,4
315,3.0,4
323,7.0,8
329,5.0,6
339,9.0,10
354,14.0,15
360,5.0,6
367,6.0,7
372,4.0,5
386,13.0,14
391,4.0,5
398,6.0,7
414,15.0,16
421,6.0,7
428,6.0,7
444,15.0,16
454,9.0,10
463,8.0,9
468,4.0,5
476,7.0,8
480,3.0,4
485,4.0,5
495,9.0,10
502,6.0,7
515,12.0,13
522,6.0,7
527,4.0,5
540,12.0,13
548,7.0,8
556,7.0,8
562,5.0,6
567,4.0,5
574,6.0,7
583,8.0,9
588,4.0,5
615,26.0,27
629,13.0,14
637,7.0,8
641,3.0,4
647,5.0,6
654,6.0,7
660,5.0,6
668,7.0,8
672,3.0,4
677,4.0,5
683,5.0,6
698,14.0,15
707,8.0,9
712,4.0,5
724,11.0,12
744,19.0,20
750,5.0,6
754,3.0,4
764,9.0,10
769,4.0,5
779,9.0,10
786,6.0,7
794,7.0,8
799,4.0,5
811,11.0,12
815,3.0,4
829,13.0,14
836,6.0,7
856,19.0,20
862,5.0,6
874,11.0,12
883,8.0,9
896,12.0,13
921,24.0,25
926,4.0,5
931,4.0,5
943,11.0,12
960,16.0,17
979,18.0,19
983,3.0,4
986,2.0,3
992,5.0,6
999,6.0,7
1009,9.0,10
1021,11.0,12
1028,6.0,7
1037,8.0,9
1047,9.0,10
1052,4.0,5
1061,8.0,9
1078,16.0,17
1082,3.0,4
1096,13.0,14
1101,4.0,5
1108,6.0,7
1114,5.0,6
1123,8.0,9
1133,9.0,10
1138,4.0,5
1151,12.0,13
1163,11.0,12
1170,6.0,7
1180,9.0,10
1192,11.0,12
1208,15.0,16
1216,7.0,8
1228,11.0,12
1232,3.0,4
1252,19.0,20
1258,5.0,6
1266,7.0,8
1270,3.0,4
1276,5.0,6
1284,7.0,8
1304,19.0,20
1312,7.0,8
1320,7.0,8
1328,7.0,8
1342,13.0,14
1349,6.0,7
1358,8.0,9
1378,19.0,20
1388,9.0,10
1392,3.0,4
1399,6.0,7
1403,3.0,4
1425,21.0,22
1429,3.0,4
1438,8.0,9
1446,7.0,8
1451,4.0,5
1462,10.0,11
1472,9.0,10
1481,8.0,9
1487,5.0,6
1491,3.0,4
1496,4.0,5
1503,6.0,7
1508,4.0,5
1514,5.0,6
1520,5.0,6
1524,3.0,4
1541,16.0,17
1549,7.0,8
1557,7.0,8
1568,10.0,11
1604,35.0,36
1610,5.0,6
1622,11.0,12
1639,16.0,17
1643,3.0,4
1649,5.0,6
1653,3.0,4
1662,8.0,9
1667,4.0,5
1676,8.0,9
1680,3.0,4
1686,5.0,6
1689,2.0,3
1696,6.0,7
1702,5.0,6
1717,14.0,15
1723,5.0,6
1729,5.0,6
1743,13.0,14
1747,3.0,4
1752,4.0,5
1757,4.0,5
1767,9.0,10
1772,4.0,5
1776,3.0,4
1808,31.0,32
1816,7.0,8
1821,4.0,5
1828,6.0,7
1834,5.0,6
1838,3.0,4
1841,2.0,3
1850,8.0,9
1860,9.0,10
