global_step,return,length
5,34.968637896667495,5
9,25.44374046124539,4
16,53.99068671594238,7
22,44.13948871374605,6
27,35.70468894091928,5
32,35.30929359140661,5
36,26.212895070506494,4
43,53.3145779179133,7
49,44.2794040307715,6
57,62.67370000253146,8
62,34.81350970880413,5
67,35.15760909746745,5
71,25.79064434388939,4
78,53.82805140263923,7
86,61.90351306287079,8
95,72.48553398319272,9
100,35.522030598366335,5
104,25.98091762746686,4
109,34.925379507269966,5
113,25.46361546340863,4
122,72.07321243788537,9
126,26.261728392999636,4
132,44.28551508086373,6
141,72.57463072109357,9
145,26.152786668170535,4
149,25.479250376447347,4
157,63.049923034571854,8
160,16.85280942792863,3
167,54.18983891115274,7
172,35.28668208051959,5
178,44.19637849284979,6
184,44.11699342740989,6
190,44.21208136475733,6
197,52.645518247656355,7
204,53.35856978000369,7
209,34.73630922772217,5
215,43.96031769112534,6
219,25.737948459155053,4
227,63.57628128551575,8
231,26.043505914717432,4
238,53.66919284835386,7
243,34.93028424093482,5
248,35.35396487759271,5
256,63.135739858542934,8
262,44.69809052917044,6
267,35.3343929509548,5
274,54.064367175234985,7
278,26.09563870243845,4
282,25.80077562349264,4
290,63.27486472988446,8
297,53.99846483288579,7
301,25.431380524739247,4
305,25.704376875558786,4
312,53.58734154836913,7
319,53.81342525586038,7
323,25.905977209151665,4
327,25.69242340961479,4
335,63.035753823303786,8
339,25.803231157874862,4
342,16.718224891023006,3
351,72.07773650652092,9
356,34.74407742975355,5
360,25.54919370642598,4
368,62.56646054723913,8
373,35.3562919272826,5
380,53.63465230050152,7
385,35.02269430744096,5
390,34.97591841717294,5
396,44.72801824647085,6
400,25.88812072448275,4
410,81.58198307693922,10
415,35.405731970907254,5
422,53.57781839815301,7
430,63.40310939914302,8
435,35.56743876456881,5
442,53.1478870470233,7
450,63.21597969929272,8
454,26.161199185485188,4
459,35.229779265988626,5
469,81.72709333923585,10
476,53.9143750740429,7
480,26.065418305045828,4
484,25.508046196735492,4
494,81.73667464310294,10
497,16.837413170800584,3
502,35.368882891683164,5
508,44.319122052340255,6
512,25.69681609806998,4
520,63.50531234410217,8
526,44.07436066339702,6
532,44.255313997395675,6
537,35.00892834902891,5
541,25.829759962801177,4
550,72.22394719520877,9
557,53.938012062458775,7
561,25.814116090635103,4
565,26.07028063895963,4
569,25.739232153127237,4
577,62.37203877631462,8
583,44.14637574878776,6
590,53.416843428079474,7
596,44.53145850839586,6
600,25.823157646502217,4
604,26.053211277625213,4
608,25.438675616035976,4
614,44.119100622253306,6
619,35.26089809153514,5
629,81.65289113772714,10
633,25.615023758299756,4
641,62.956751780342515,8
651,82.16050011275878,10
655,26.167358893357335,4
661,43.92750156178295,6
665,25.55729451039209,4
671,44.48824071773179,6
677,44.30439634047456,6
682,35.50238911182047,5
687,35.59718640233986,5
692,35.36639560130856,5
696,25.96713090784508,4
700,25.522953839535827,4
706,44.756524876189644,6
711,35.001555316087796,5
716,35.11056616183429,5
722,44.5119370091153,6
727,35.25512772843402,5
730,16.944938606364396,3
737,53.556421402653896,7
746,72.73125150252741,9
750,26.176612596798638,4
756,44.06620579902461,6
764,63.26805419189458,8
768,25.538778583788034,4
776,62.64086723442893,8
782,44.33231161228615,6
786,25.616613301144117,4
792,44.91966184501267,6
796,25.75577417338522,4
799,16.833540820162415,3
805,44.3090427052044,6
809,25.666583871005525,4
817,63.63288746417609,8
822,34.88712433025621,5
829,53.2455120907049,7
833,25.50029102290027,4
838,35.318188567212204,5
842,26.115721892314294,4
846,26.183682410746464,4
853,53.64953211608681,7
858,35.44873085978686,5
865,53.621341405304165,7
870,35.269152229420165,5
876,44.48811929206902,6
883,53.848928633306144,7
887,25.546834762128032,4
890,16.898528040879064,3
899,72.4731971079646,9
904,35.346271917178676,5
911,53.97997324583805,7
917,44.264142732200916,6
925,63.2711706906995,8
933,63.015286238106526,8
937,25.838580103224466,4
943,44.58025356209236,6
946,16.94709156527255,3
952,44.747583202826874,6
957,35.00237545588363,5
962,34.964432390204216,5
967,34.895225382166245,5
970,16.90907061128272,3
975,35.33115644076523,5
983,62.93604589715999,8
990,53.641298559033956,7
995,34.90741566518102,5
1002,53.80549353272485,7
1006,26.161663470748223,4
1010,26.270928410415124,4
1014,25.83938503029088,4
1023,72.57345366600448,9
1027,26.008832710726846,4
1035,63.25548850803005,8
1039,26.105128747581844,4
1044,35.30837458685579,5
1049,35.45127004852382,5
1056,53.84105406276033,7
1061,35.00607591034567,5
1065,25.794391832944466,4
1071,44.592659942793105,6
1077,44.183038225896105,6
1083,44.49193170499144,6
1087,26.2100793285211,4
1096,72.55658122403536,9
1100,25.892658104755434,4
1105,34.848505458159764,5
1112,53.787152065321024,7
1116,26.15213236208805,4
1123,54.010754977123476,7
1129,44.25205986354744,6
1133,25.540761604939107,4
1137,25.338121703637757,4
1143,44.3523648225845,6
1150,53.87212064383753,7
1155,34.76693522893162,5
1160,34.86072763464928,5
1164,25.679056917886506,4
1171,53.62955198151671,7
1177,44.64097021068884,6
1181,25.912273771862896,4
1186,35.59140873679311,5
1190,25.624668611850844,4
1194,25.80133700470483,4
1198,25.412281096853796,4
1201,16.958287406733717,3
1208,53.17161317313333,7
1211,16.959717141592932,3
1216,35.19049859200069,5
1227,91.24401277152828,11
1231,26.09046592511432,4
1237,43.96201589142565,6
1244,54.35759642690585,7
1250,44.72534883076441,6
1255,35.37832555365394,5
1260,35.491213607069206,5
1264,25.623971117599506,4
1269,34.97444743333947,5
1278,72.41275209950119,9
1285,54.15432070018021,7
1290,34.933371363703,5
1294,25.870234697092734,4
1298,25.975725773920807,4
1303,34.846659813605186,5
1308,35.15233197801221,5
1315,54.228587330879286,7
1319,25.866632139724057,4
1327,62.68172275486011,8
1335,63.058343611509876,8
1342,53.521508411301554,7
1346,25.53507506187975,4
1350,25.90544034287049,4
1355,34.824241943970925,5
1362,53.77250897130039,7
1368,44.451246342798065,6
1374,44.00210545965407,6
1381,53.63769258851151,7
1386,34.9524544692138,5
1390,26.135951363828507,4
1394,26.050682100201136,4
1403,71.48152209847498,9
1409,44.017578393451466,6
1416,52.2466365337368,7
1425,71.943264779185,9
1429,26.107768467191924,4
1433,26.021512762250982,4
1438,34.587894995498665,5
1445,53.80787346911441,7
1451,44.31306893945396,6
1457,44.4672361012506,6
1465,62.60579785683323,8
1469,25.7443202181341,4
1473,25.926347686834557,4
1480,53.79260555787413,7
1484,25.877504587904923,4
1490,44.59816043479103,6
1497,53.69030741548646,7
1505,63.42038584387932,8
1510,35.34776870500816,5
1514,26.25383157013752,4
1521,53.57045376384738,7
1527,44.751598692748445,6
1531,26.092853574157957,4
1539,63.03505010213007,8
1543,26.200712243277053,4
1552,72.37153591424185,9
1560,62.85062911046917,8
1568,62.74926811685928,8
1573,35.12133264022562,5
1578,35.23403746207606,5
1585,53.40691643217151,7
1592,53.392726352247024,7
1596,25.98966434142957,4
1603,53.99294709606448,7
1610,53.46981906215331,7
1616,44.86045794304659,6
1624,63.608946039781635,8
1630,44.200406323806526,6
1637,54.14550952722593,7
1641,26.167489417002855,4
1648,53.69932241368324,7
1653,35.1130123827745,5
1657,25.858892993421666,4
1665,62.480978865011714,8
1672,53.415595046874465,7
1679,53.550837641249885,7
1684,35.06426351050533,5
1690,44.54350173390271,6
1694,26.226437934246952,4
1700,44.232419758651815,6
1705,35.18999831564597,5
1711,44.32770982929715,6
1715,25.97672513584269,4
1723,62.63563625029622,8
1730,53.52106502646496,7
1734,25.77211661247044,4
1739,35.14818828574647,5
1743,25.584607698190695,4
1752,72.76309494290736,9
1756,25.63368461528961,4
1763,53.257680916803324,7
1767,25.69685070885977,4
1773,44.43808899702665,6
1778,34.87650482149475,5
1782,25.893980254979603,4
1786,25.68537406134747,4
1794,62.88653640415076,8
1798,26.25585492962301,4
1807,72.93965001381416,9
1816,72.39940722511028,9
1826,81.64265935233662,10
1833,53.5907437701481,7
1839,44.73651753573961,6
1847,63.07021570533992,8
1853,44.249539143613866,6
1859,43.98974934290829,6
1869,81.52664786639438,10
1875,44.80763675845618,6
1887,100.37072352295766,12
1895,62.84045466318612,8
1899,25.93094038368347,4
