global_step,return,length
5,4.0,5
18,12.0,13
23,4.0,5
34,10.0,11
38,3.0,4
43,4.0,5
47,3.0,4
58,10.0,11
63,4.0,5
69,5.0,6
73,3.0,4
77,3.0,4
82,4.0,5
88,5.0,6
93,4.0,5
118,24.0,25
124,5.0,6
127,2.0,3
131,3.0,4
139,7.0,8
148,8.0,9
159,10.0,11
164,4.0,5
171,6.0,7
177,5.0,6
188,10.0,11
194,5.0,6
198,3.0,4
204,5.0,6
224,19.0,20
230,5.0,6
244,13.0,14
249,4.0,5
262,12.0,13
270,7.0,8
277,6.0,7
285,7.0,8
290,4.0,5
303,12.0,13
307,3.0,4
314,6.0,7
326,11.0,12
337,10.0,11
346,8.0,9
353,6.0,7
362,8.0,9
369,6.0,7
375,5.0,6
380,4.0,5
385,4.0,5
401,15.0,16
408,6.0,7
417,8.0,9
421,3.0,4
426,4.0,5
442,15.0,16
447,4.0,5
452,4.0,5
459,6.0,7
468,8.0,9
484,15.0,16
494,9.0,10
504,9.0,10
513,8.0,9
520,6.0,7
525,4.0,5
539,13.0,14
545,5.0,6
550,4.0,5
558,7.0,8
567,8.0,9
571,3.0,4
589,17.0,18
595,5.0,6
600,4.0,5
604,3.0,4
609,4.0,5
614,4.0,5
653,38.0,39
657,3.0,4
664,6.0,7
670,5.0,6
678,7.0,8
684,5.0,6
690,5.0,6
700,9.0,10
704,3.0,4
708,3.0,4
713,4.0,5
717,3.0,4
732,14.0,15
736,3.0,4
744,7.0,8
753,8.0,9
768,14.0,15
786,17.0,18
794,7.0,8
801,6.0,7
804,2.0,3
810,5.0,6
816,5.0,6
829,12.0,13
835,5.0,6
841,5.0,6
852,10.0,11
856,3.0,4
877,20.0,21
883,5.0,6
888,4.0,5
895,6.0,7
921,25.0,26
930,8.0,9
934,3.0,4
938,3.0,4
944,5.0,6
956,11.0,12
966,9.0,10
984,17.0,18
993,8.0,9
999,5.0,6
1006,6.0,7
1012,5.0,6
1029,16.0,17
1042,12.0,13
1047,4.0,5
1052,4.0,5
1069,16.0,17
1075,5.0,6
1085,9.0,10
1089,3.0,4
1096,6.0,7
1103,6.0,7
1108,4.0,5
1115,6.0,7
1121,5.0,6
1125,3.0,4
1130,4.0,5
1142,11.0,12
1147,4.0,5
1159,11.0,12
1174,14.0,15
1183,8.0,9
1187,3.0,4
1201,13.0,14
1207,5.0,6
1212,4.0,5
1217,4.0,5
1224,6.0,7
1230,5.0,6
1234,3.0,4
1240,5.0,6
1246,5.0,6
1258,11.0,12
1264,5.0,6
1273,8.0,9
1284,10.0,11
1291,6.0,7
1298,6.0,7
1311,12.0,13
1319,7.0,8
1325,5.0,6
1331,5.0,6
1346,14.0,15
1351,4.0,5
1355,3.0,4
1364,8.0,9
1368,3.0,4
1375,6.0,7
1382,6.0,7
1401,18.0,19
1408,6.0,7
1428,19.0,20
1439,10.0,11
1442,2.0,3
1447,4.0,5
1452,4.0,5
1465,12.0,13
1472,6.0,7
1488,15.0,16
1492,3.0,4
1496,3.0,4
1499,2.0,3
1505,5.0,6
1512,6.0,7
1515,2.0,3
1523,7.0,8
1537,13.0,14
1547,9.0,10
1553,5.0,6
1565,11.0,12
1574,8.0,9
1584,9.0,10
1595,10.0,11
1601,5.0,6
1611,9.0,10
1621,9.0,10
1629,7.0,8
1633,3.0,4
1639,5.0,6
1642,2.0,3
1649,6.0,7
1667,17.0,18
1673,5.0,6
1677,3.0,4
1685,7.0,8
1693,7.0,8
1714,20.0,21
1725,10.0,11
1732,6.0,7
1739,6.0,7
1751,11.0,12
1758,6.0,7
1768,9.0,10
1780,11.0,12
1786,5.0,6
1791,4.0,5
1798,6.0,7
1807,8.0,9
1810,2.0,3
1817,6.0,7
1822,4.0,5
1837,14.0,15
1841,3.0,4
1845,3.0,4
1852,6.0,7
1861,8.0,9
1873,11.0,12
1878,4.0,5
1881,2.0,3
1888,6.0,7
1894,5.0,6
1909,14.0,15
1919,9.0,10
1925,5.0,6
1929,3.0,4
1933,3.0,4
1942,8.0,9
1958,15.0,16
1963,4.0,5
1974,10.0,11
1979,4.0,5
1994,14.0,15
2000,5.0,6
2008,7.0,8
2013,4.0,5
2021,7.0,8
2031,9.0,10
2035,3.0,4
2040,4.0,5
2044,3.0,4
2050,5.0,6
2061,10.0,11
2066,4.0,5
2078,11.0,12
2084,5.0,6
2091,6.0,7
2095,3.0,4
2101,5.0,6
2122,20.0,21
2129,6.0,7
2133,3.0,4
2139,5.0,6
2174,34.0,35
2185,10.0,11
2196,10.0,11
2202,5.0,6
2206,3.0,4
2215,8.0,9
2223,7.0,8
2231,7.0,8
2239,7.0,8
2247,7.0,8
2255,7.0,8
2259,3.0,4
2293,33.0,34
2307,13.0,14
2311,3.0,4
2321,9.0,10
2329,7.0,8
2335,5.0,6
2341,5.0,6
2346,4.0,5
2354,7.0,8
2389,34.0,35
2394,4.0,5
2400,5.0,6
2416,15.0,16
2429,12.0,13
2435,5.0,6
2452,16.0,17
2460,7.0,8
2467,6.0,7
2474,6.0,7
2481,6.0,7
2488,6.0,7
2493,4.0,5
2498,4.0,5
2503,4.0,5
2508,4.0,5
2516,7.0,8
2538,21.0,22
2543,4.0,5
2553,9.0,10
2573,19.0,20
2584,10.0,11
2596,11.0,12
2611,14.0,15
2616,4.0,5
2622,5.0,6
2630,7.0,8
2634,3.0,4
2642,7.0,8
2653,10.0,11
2658,4.0,5
2665,6.0,7
2672,6.0,7
2690,17.0,18
2703,12.0,13
2709,5.0,6
2726,16.0,17
2737,10.0,11
2741,3.0,4
2750,8.0,9
2766,15.0,16
2776,9.0,10
2788,11.0,12
2792,3.0,4
2797,4.0,5
2806,8.0,9
2819,12.0,13
2825,5.0,6
2832,6.0,7
2844,11.0,12
2873,28.0,29
2891,17.0,18
2901,9.0,10
2906,4.0,5
2915,8.0,9
2928,12.0,13
2934,5.0,6
2943,8.0,9
2967,23.0,24
2971,3.0,4
2978,6.0,7
2990,11.0,12
2994,3.0,4
3002,7.0,8
3008,5.0,6
3014,5.0,6
3019,4.0,5
3029,9.0,10
3038,8.0,9
3045,6.0,7
3049,3.0,4
3059,9.0,10
3068,8.0,9
3100,31.0,32
3109,8.0,9
3116,6.0,7
3128,11.0,12
3134,5.0,6
3139,4.0,5
3150,10.0,11
3157,6.0,7
3172,14.0,15
3176,3.0,4
3184,7.0,8
3197,12.0,13
3201,3.0,4
3218,16.0,17
3232,13.0,14
3240,7.0,8
3246,5.0,6
3252,5.0,6
3256,3.0,4
3265,8.0,9
3272,6.0,7
3278,5.0,6
3299,20.0,21
3332,32.0,33
3338,5.0,6
3347,8.0,9
3361,13.0,14
3368,6.0,7
3383,14.0,15
3394,10.0,11
